rcid,country_code,disaster_before_vote,number_disasters,total_affected
2433,GA,0,0,0
2433,CF,0,0,0
2433,TD,0,0,0
2433,CG,0,0,0
2433,CD,0,0,0
2433,UG,0,0,0
2433,KE,1,1,3075
2433,TZ,1,1,40000
2433,BI,0,0,0
2433,RW,0,0,0
2433,SO,0,0,0
2433,DJ,0,0,0
2433,ET,0,0,0
2433,AO,0,0,0
2433,MZ,0,0,0
2433,MW,0,0,0
2433,LS,0,0,0
2433,BW,1,1,1037300
2433,SZ,0,0,0
2433,MG,0,0,0
2433,KM,0,0,0
2433,MU,0,0,0
2433,MA,0,0,0
2433,DZ,1,1,8551
2433,TN,1,1,30117
2433,LY,0,0,0
2433,SD,0,0,0
