rcid,country_code,disaster_before_vote,number_disasters,total_affected
6142,ES,1,2,13
6145,ES,1,2,13
6142,LK,1,2,228744
6145,LK,1,2,228744
6142,SD,1,3,127522
6145,SD,1,3,127522
6142,SR,0,0,0
6145,SR,0,0,0
6142,CH,0,0,0
6145,CH,0,0,0
6142,SY,0,0,0
6145,SY,0,0,0
6142,TJ,1,1,5731
6145,TJ,1,1,5731
6142,TH,0,0,0
6145,TH,0,0,0
6142,MK,0,0,0
6145,MK,0,0,0
6142,TL,0,0,0
6145,TL,0,0,0
6142,TG,0,0,0
6145,TG,0,0,0
6142,TO,0,0,0
6145,TO,0,0,0
6142,TT,1,1,150000
6145,TT,1,1,150000
6142,TN,1,2,30013
6145,TN,1,2,30013
6142,TR,0,0,0
6145,TR,0,0,0
6142,TV,0,0,0
6145,TV,0,0,0
6142,UG,0,0,0
6145,UG,0,0,0
6142,UA,0,0,0
6145,UA,0,0,0
6142,AE,0,0,0
6145,AE,0,0,0
6142,GB,0,0,0
6145,GB,0,0,0
6142,TZ,1,1,15888
6145,TZ,1,1,15888
6142,US,1,7,254947
6145,US,1,7,254947
6142,UY,1,1,11135
6145,UY,1,1,11135
6142,UZ,0,0,0
6145,UZ,0,0,0
6142,VU,0,0,0
6145,VU,0,0,0
6142,VE,1,2,10702
6145,VE,1,2,10702
6142,VN,1,3,127795
6145,VN,1,3,127795
6142,YE,0,0,0
6145,YE,0,0,0
6142,ZM,0,0,0
6145,ZM,0,0,0
6142,ZW,0,0,0
6145,ZW,0,0,0
9140,AL,0,0,0
9140,DZ,0,0,0
9140,AD,0,0,0
9140,AO,1,3,16591
9140,AG,0,0,0
9140,AR,1,3,35357
9140,AM,0,0,0
9140,AU,1,3,19445
9140,AT,0,0,0
9140,AZ,0,0,0
9140,BS,0,0,0
9140,BH,0,0,0
9140,BD,1,1,7600114
9140,BB,0,0,0
9140,BY,0,0,0
9140,BE,0,0,0
9140,BZ,0,0,0
9140,BJ,0,0,0
9140,BT,0,0,0
9140,BA,1,2,760
9140,BW,0,0,0
